CourseID,CourseName,Unit,ReviewNumber,AvgStar,Level,Results
IBM Data Science Professional Certificate,IBM Data Science Professional Certificate,IBM,69587,4.6,Beginner level,"Master the most up-to-date practical skills and knowledge that data scientists use in their daily roles
Learn the tools, languages, and libraries used by professional data scientists, including Python and SQL
Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines
Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers
"
What is Data Science?,What is Data Science?,IBM,68152,4.7,Beginner level,"Define data science and its importance in today’s data-driven world.
Describe the various paths that can lead to a career in data science.
 Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.
Explain why data science is considered the most in-demand job in the 21st century. 
"
Data Science Challenge,Data Science Challenge,Coursera Project Network,0,0,Intermediate level,"Load, clean, analyze, process, and visualize data using Python and Jupyter Notebooks
Produce an end-to-end machine learning prediction model using Python and Jupyter Notebooks
"
Leverage Data Science for a More Agile Supply Chain Specialization,Leverage Data Science for a More Agile Supply Chain Specialization,"University of California, Irvine",184,4.5,Intermediate level,"Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.
Set up and solve optimization problems in Excel.
Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain.
"
Go Beyond the Numbers: Translate Data into Insights,Go Beyond the Numbers: Translate Data into Insights,Google,481,4.8,Advanced level,"Apply the exploratory data analysis (EDA) process
Explore the benefits of structuring and cleaning data
Investigate raw data using Python
Create data visualizations using Tableau 
"
Bayesian Statistics Specialization,Bayesian Statistics Specialization,"University of California, Santa Cruz",281,4.6,Intermediate level,"Bayesian Inference
Time Series Forecasting
Hierarchical Modeling
"
"Foundations: Data, Data, Everywhere","Foundations: Data, Data, Everywhere",Google,99239,4.8,Beginner level,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.
Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.
Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.
Describe the role of a data analyst with specific reference to jobs.
"
Google Advanced Data Analytics Capstone,Google Advanced Data Analytics Capstone,Google,532,4.9,Advanced level,"Examine data to identify patterns and trends 
Build models using machine learning techniques 
Create data visualizations 
Explore career resources 
"
Data Science Methods for Quality Improvement Specialization,Data Science Methods for Quality Improvement Specialization,University of Colorado Boulder,13,4.8,Intermediate level,"Manage, describe, and analyze data using applied statistics
Apply continuous and/or discrete data methods for process analysis, improvement, and ongoing management in a business or workplace
Analyze measurement systems to ensure their stability and capability
"
The Path to Insights: Data Models and Pipelines,The Path to Insights: Data Models and Pipelines,Google,376,4.7,Advanced level,"Build data models that answer business questions 
Apply the ETL process to workplace scenarios
Explore ETL tools
Construct a pipeline to deliver necessary data
"
