CourseName,ReviewerNameID,ReviewerName,CourseNameID,rating,CourseID,Unit,ReviewNumber,AvgStar,Level,Results
Data Manipulation and Management using MYSQL Workbench,29,Daniel P,727,7.8043814,Data Manipulation and Management using MYSQL Workbench,Coursera Project Network,10,4.3,Beginner level,"You will be able to select data from tables with cutom filter by different SQL keywords.
You will be able to create a query with aggregate function and groupingby statement and how to join between tables with different properties and data
"
Transfer Learning for Food Classification,29,Daniel P,537,7.277897,Transfer Learning for Food Classification,Coursera Project Network,65,4.6,Beginner level,"Understand the theory and intuition behind Convolutional Neural Networks (CNNs) and transfer learning
Build and train a Deep Learning Model using Pre-Trained InceptionResnetV2
Assess the performance of trained CNN using various Key performance indicators 
"
Advanced Clinical Data Science,29,Daniel P,573,6.8628454,Advanced Clinical Data Science,University of Colorado System,21,4.8,Intermediate level,
Operational Analytics with Microsoft Azure Synapse Analytics,29,Daniel P,759,6.821029,Operational Analytics with Microsoft Azure Synapse Analytics,Microsoft,19,4.5,Intermediate level,"How to perform operational analytics against Azure Cosmos DB using the Azure Synapse Link feature within Azure Synapse Analytics
How to query Azure Cosmos DB with SQL Serverless/Apache Spark for Azure Synapse Analytics 
How to configure and enable Azure Synapse Link to interact with Azure Cosmos DB
How to use hybrid transactional and analytical processing to perform operational analytics with Azure Synapse Analytics 
"
Statistical Forecasting Techniques in Google Sheets,29,Daniel P,661,6.6701818,Statistical Forecasting Techniques in Google Sheets,Coursera Project Network,27,4.4,Beginner level,"Identify use cases for forecasting growth
Understand and recognize linear and exponential growth   
Conduct exponential regression with a linear model
"
Statistical Forecasting Techniques in Google Sheets,19,Daniel S,661,7.0177293,Statistical Forecasting Techniques in Google Sheets,Coursera Project Network,27,4.4,Beginner level,"Identify use cases for forecasting growth
Understand and recognize linear and exponential growth   
Conduct exponential regression with a linear model
"
Extract Text Data with Python and Regex,19,Daniel S,563,6.969286,Extract Text Data with Python and Regex,Coursera Project Network,20,4.4,Intermediate level,"Learn what Regular Expression is and how it works
Learn how to use regular expressions for text data cleaning
Learn how regular expressions can be useful for text mining
"
Titanic Survival Prediction Using Machine Learning,19,Daniel S,633,6.8938756,Titanic Survival Prediction Using Machine Learning,Coursera Project Network,12,4.8,Beginner level,"Understand the theory and intuition behind logistic regression classifier models
Build, train and test a logistic regression classifier model in Scikit-Learn 
Perform data cleaning, feature engineering and visualization
"
Data Manipulation and Management using MYSQL Workbench,19,Daniel S,727,6.8321934,Data Manipulation and Management using MYSQL Workbench,Coursera Project Network,10,4.3,Beginner level,"You will be able to select data from tables with cutom filter by different SQL keywords.
You will be able to create a query with aggregate function and groupingby statement and how to join between tables with different properties and data
"
ANOVA and Experimental Design,19,Daniel S,599,6.809506,ANOVA and Experimental Design,University of Colorado Boulder,13,3.9,Intermediate level,"Identify and interpret the two-way ANOVA (and ANCOVA) model(s) as a linear regression model.
Use the two-way ANOVA and ANCOVA models to answer research questions using real data.
Define and apply the concepts of replication, repeated measures, and full factorial design in the context of two-way ANOVA.
"
